itemID,itemName,itemPrice,itemCategory,itemDescription
HOT001,Breakfast Tea,2,HotDrink,
HOT002,Herbal Tea,2,HotDrink,
HOT003,Espresso,2,HotDrink,
HOT004,Double Espresso,3,HotDrink,
HOT005,Flat White,2.5,HotDrink,
HOT006,Reg Cappuccino,2.5,HotDrink,
HOT007,Lrg Cappuccino,3,HotDrink,
HOT008,Reg Latte ,2.5,HotDrink,
HOT009,Lrg Latte,3,HotDrink,
HOT010,Reg Mocha,2.75,HotDrink,
HOT011,Lrg Mocha,3.25,HotDrink,
HOT012,Reg Hot Chocolate,3,HotDrink,
HOT013,Lrg Hot Chocolate,3.5,HotDrink,
HOT014,Childs Hot Choc,2,HotDrink,
HOT015,Childs Hot Milk,1.5,HotDrink,
ADD001,Soya Milk,0.3,Add-on,
ADD002,Oat Milk,0.3,Add-on,
ADD003,Almond Milk,0.3,Add-on,
ADD004,Syrup,0.3,Add-on,
ADD005,Whipped cream,0.25,Add-on,
ADD006,Marshmallows,0.25,Add-on,
ADD007,Extra shot of coffee,0.5,Add-on,
CLD001,Still water,1,ColdDrink,
CLD002,Sparkling water,1,ColdDrink,
CLD003,Orange Juice,2.5,ColdDrink,
CLD004,Berry smoothie,3.5,ColdDrink,
CLD005,Milkshake,3,ColdDrink,
CLD006,Iced Coffee,2.5,ColdDrink,
CLD007,Iced Tea,2,ColdDrink,
CLD008,Lemonade,1.5,ColdDrink,
CLD009,Coke,1.5,ColdDrink,
CLD010,Diet Coke,1.5,ColdDrink,
FOD001,Tuna sandwich,5,Food,
FOD002,Ham and Cheese sandwich,5,Food,
FOD003,Mozzarella and Pesto Panini,6,Food,
FOD004,Croque Monsieur Panini,6,Food,
FOD005,Chicken salad wrap ,5,Food,
FOD006,Soup,3.5,Food,
FOD007,Chicken Caesar Salad,5,Food,
FOD008,Italian Pasta Salad,5,Food,
FOD009,Croissant,1.5,Food,
FOD010,Full Breakfast,6,Food,
DES001,Pankcakes,5,Dessert,
DES002,Chocolate Cake,3.5,Dessert,
DES003,Carrot Cake,3.5,Dessert,
DES004,Lemon Drizzle Cake,3.5,Dessert,
DES005,Chocolate Brownie,3.5,Dessert,
DES006,Blueberry Muffin,3,Dessert,
DES007,Caramel Shortbread,3,Dessert,
DES008,Fruit Scone,3,Dessert,
DES009,Lemon Meringue Tart,3.5,Dessert,
DES010,Ice Cream,3,Dessert,
